function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m
K00180	248	7	4799	1	179.92	2	159	1	1829.4	0	0	5	157.84	1	405	0	56.5	5	99.25	3	151	9	464.5	11	103	3	2	1	6	5	189	1
K00183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0
K00184	6894	50	2695.67	33	477.99	92	1719	39	6872.5	163	7375	57	1255.84	124	16864.5	45	678.52	30	1473.25	134	2538.67	57	5300	167	5732	42	5639	67	4564	56	5992	69
K00185	6894	50	2695.67	33	444.33	92	1719	39	6872.5	163	7375	57	1239.67	124	16861.5	45	665.85	29	1438.25	134	2538	55	5300	167	5732	42	5639	67	4564	56	5992	69
K00186	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00187	0	0	0	0	1	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00188	0	0	0	0	1	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00192	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00193	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00194	6	1	38	11	26	1	0	1	235	10	336	1	14	15	267	3	0	1	80.75	1	23	1	834	1	119	2	528	4	358	1	268	3
K00195	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00196	0	0	0	0	18.42	0	0	0	43	0	0	0	3.67	0	0	0	0	1	11	0	0.5	1	0	0	0	1	0	0	0	0	0	1
K00197	6	0	0	0	26	0	0	0	0	0	0	1	35	0	0	0	0	1	25	1	0	1	5	1	0	0	0	0	0	1	0	0
K00198	12	0	0	0	57.5	0	0	0	50	0	0	1	34	0	0	0	0	1	35.75	2	3	2	10	1	0	1	0	0	0	1	0	1
K00200	20	1	39	1	104.32	1	0	1	17	0	0	0	35.66	0	73.5	0	99.17	1	73.5	1	14.5	9	5	1	91	1	0	1	0	0	25	0
K00201	20	1	39	1	92.99	1	0	1	17	0	0	0	32.33	0	71.5	0	95.17	1	70.5	1	14.5	9	5	1	91	1	0	1	0	0	25	0
K00202	20	1	39	1	97.99	1	0	1	17	0	0	0	36.33	0	73.5	0	95.17	1	70.5	1	14.5	9	5	1	91	1	0	1	0	0	25	0
K00203	0	0	0	0	1	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0
K00204	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00205	0	0	0	0	2	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
K00208	19375.24	145	17548.47	182	5005.14	120	8037.25	93	15090.4	136	31108.96	108	9160.48	134	20740.25	113	6484.27	91	5365.5	269	8401.04	223	20818.75	426	9353.79	90	12735.85	138	10104.47	148	9955.09	158
K00209	9628.48	84	4581.82	68	3392.11	48	4456.52	45	5918.52	166	6257.13	58	7790.12	133	4269.78	83	1297.07	34	1192.29	71	3681.35	13	15174.7	43	4998.38	46	2599	83	3043.17	58	4873.1	62
K00210	961	2	768	1	37.7	1	27	1	850.5	1	5	0	30.5	1	29.5	0	28.5	3	26	1	53	3	473.6	0	0	1	0	1	3	1	154.4	1
K00211	85	1	78	1	50	1	75	1	9.5	0	0	5	550	0	209	0	21	17	69	1	122	1	34	2	54	1	12	1	0	10	50	0
K00214	0	0	25	0	20	1	0	0	0	0	0	1	14	0	5	0	128.5	1	380.75	0	0	5	0	0	3	1	0	1	0	0	0	0
K00215	33610.1	272	21480.66	305	8830.66	186	10231.32	144	22587.44	549	31848.84	190	18262.33	460	58441.03	239	14008.93	152	6215.8	334	10940.47	199	37585.47	349	12996.92	146	18226.18	268	14983.51	163	16496.44	207
K00216	2148.5	21	1916.75	11	1728.85	9	1151.17	18	1169	3	1136.38	11	4667.67	4	1979.67	7	2255.25	10	185.5	19	797.17	5	9355	13	1736	27	451.67	13	390.92	17	564.17	13
K00217	1366	12	0	56	628.9	10	653	2	409	49	750	0	2425	35	82.33	13	27	5	157.8	2	658	8	2657	1	83	2	2742	3	1599	1	269	10
K00218	0	0	25	0	128.5	1	0	0	0	0	0	1	20.5	0	22	0	128.5	1	385.75	0	0	9	0	0	3	1	0	1	0	0	0	0
K00219	9815.43	114	5009.04	249	5235.29	51	4970.9	47	8546.64	124	11510.67	42	14482.83	115	3085.7	91	4627.08	39	2330.49	163	3628.34	54	19535.15	205	5601.54	49	12669.18	88	9120.76	80	3551.76	73
K00220	2037	20	5485.5	2	549.53	9	1520.67	8	1008.5	1	20	15	239.83	2	2137	1	1056	31	831.5	9	1492.67	46	2380.6	64	611.5	7	4.17	9	10.67	20	599.57	1
K00221	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	5.25	0	0	1	0	0	0	0	0	0	0	0	0	0
K00222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00226	2	1	4.33	1	225.9	1	2.6	1	1752.07	1	0	0	1280.33	0	4781.5	1	5687.83	33	1120.16	1	63.75	12	3.17	1	12.5	1	1.67	1	1.67	1	2.73	1
K00227	18	1	54	4	35	1	2	1	187	1	1800	5	498	2	156	2	0	14	27	1	15	1	96	2	54	4	349	3	208	10	79	2
K00228	12909.1	113	12358.91	215	5737.07	92	8109.32	83	12199.39	219	23863.84	66	12681.5	171	6100.03	140	5412.24	71	3243.74	174	7574.72	139	22047.3	200	9704.92	73	10080.51	134	8980.26	116	8746.04	132
K00230	2104	21	1737.5	9	2647.16	5	561.5	4	762	3	753.52	10	8423.5	6	1196.66	7	14436	19	477.08	18	358.5	8	2606	11	1439.5	6	936	5	316.92	16	174.5	10
K00231	42	1	54.75	7	1758.35	2	659.4	14	1419.95	1	6	1	3220.49	1	4147.67	0	7897.61	48	1778.15	1	497.75	29	16	1	264	14	5	9	27	1	298	3
K00232	777	6	750.75	58	1394.25	7	912	20	1684	6	3730	6	4284.33	7	3772.5	44	7350.59	49	1863.67	13	883	8	644	5	1058.5	21	1233	17	2189	12	874.67	40
K00239	18786.1	157	14285.33	277	7752.92	237	9310.72	122	21502.99	382	34194.84	130	16371.24	295	48260.2	180	20041.94	191	7319.15	404	9056.47	200	26865.8	484	13783.92	135	20594.51	208	17483.26	184	16348.04	237
K00240	18784.1	157	14285.33	276	7759.42	237	9299.72	122	21275.99	381	34192.84	130	16375.74	295	46166.2	180	19744.35	174	7164.9	404	9054.47	204	26861.8	484	13783.92	135	20594.51	207	17473.26	184	16344.04	237
K00241	18739.1	154	13751.33	326	8115.42	241	9219.72	122	21267.99	426	31860.84	130	18471.08	325	40688.2	184	13475.44	128	5852.98	406	8955.47	191	28171.8	482	13806.92	136	23052.51	208	18764.26	178	16344.04	223
K00242	11286.1	99	10621.91	211	6531.32	56	7143.32	69	8099.89	96	19444.84	49	14062.91	91	8074.2	109	11503.74	85	3032.41	157	5985.72	111	20331.3	169	5995.92	65	9516.51	102	8374.26	89	5948.04	101
K00243	8053.98	60	3761.15	80	2945.13	67	4176.02	42	6979.43	52	9093.96	56	5619.53	55	15875.7	75	1281.92	38	2365.88	166	3679.1	31	11782.87	172	7432.88	43	7674.84	53	7510.21	66	4988.33	83
K00244	2186	21	1903.83	9	1954.49	15	505.5	5	1397.31	3	957.28	10	4289.69	6	654.66	8	2386.83	6	427.91	20	360	13	2752.67	12	1567.5	10	978.17	9	404.88	17	341.5	11
K00245	2106	21	1787.5	8	1660.37	5	504.5	4	785	3	753.14	10	2389.41	6	146.33	7	394	2	279.83	19	334.5	6	2660	11	1440.5	6	936	5	316.92	17	158.5	10
K00246	2106	21	1787.5	8	1663.99	5	504.5	4	785	3	753.52	10	2506.16	6	146.33	7	394	2	279.83	19	334.5	6	2660	11	1440.5	6	936	6	316.92	17	158.5	10
K00247	2108	21	1787.5	8	1650.75	5	506.5	4	745	3	752.76	10	2270.66	6	146.33	7	394	2	279.83	19	334.5	4	2685	12	1440.5	6	938	5	316.92	17	158.5	10
K00248	4013.39	23	2247.91	175	2512.68	33	4704.28	40	5997.67	92	17885.08	26	5803.1	80	3124.95	100	1967.9	42	2135.54	112	3830.85	63	12965.25	78	3443.92	34	7805.17	52	7368.5	43	3808.18	86
K00249	27418.59	204	26927.61	757	9308.3	164	18050.27	171	22260.34	369	68581.81	97	21727.68	348	14794.02	365	10263.97	152	8999.91	506	15827.29	329	51065.71	213	15309.07	139	31423.37	286	32118.68	171	19215.27	324
K00252	19923.89	135	12321.04	252	7599.7	222	8831.6	126	18430.97	415	29996.58	143	20195.78	327	48582.12	177	41849.86	225	7089.24	380	9168.22	142	26467.97	419	12188.54	130	19025.34	202	16492.42	157	16675.04	203
K00253	8923.27	45	8682.41	132	3496.69	40	5910.82	48	5715.89	45	17678.96	39	6083	52	4232.53	88	2450.74	40	2378.74	133	5090.72	94	16268.47	157	3755.42	39	5784.84	66	6339.42	72	5328.87	82
K00254	18206.1	149	13414.33	244	6792.64	148	8883.32	108	15268.89	259	26819.84	105	15293.41	215	26553.7	154	12897.5	139	5139.29	290	8592.72	153	25628.8	336	11732.42	106	15155.51	169	12938.26	144	11947.71	170
K00255	3772.66	72	1395.64	222	2582.5	43	142.75	6	3689.25	150	6208	8	7852.5	112	1133.67	43	1417.84	7	544.25	51	169.36	13	6575.02	114	1026.36	15	11368.34	44	6449.34	34	754.7	38
K00256	25.17	1	56.83	0	9	1	0	1	0	0	0	0	12.83	0	28.33	0	15.83	1	13.5	0	0	2	34.67	0	135.67	0	0	0	0	0	25.33	0
K00257	41891.7	338	32724.93	1267	18487.65	272	22697.32	234	39883.6	680	132080.19	177	46811.82	607	40513.79	618	25611.38	211	11292.19	785	20957.59	405	93032.04	762	20124.76	229	55377.38	426	48856.19	345	25821.16	633
K00259	11722.38	79	10554.12	47	4522.98	106	4538.62	71	11870	167	10502.88	81	7495.83	130	22347.75	59	10225.11	96	4425.22	158	5549.67	153	9836.1	262	9902.88	67	6116	97	5020.83	99	8167.63	94
K00260	0	0	3	0	339.62	1	0.4	1	133.2	0	0	0	800.33	0	5	0	258.93	2	169.35	1	1.5	3	0	0	1	1	0	1	0	1	0.66	1
K00261	7648.29	105	5364.09	205	2234.63	59	3990.63	58	9279.87	140	17619.88	41	6216.36	115	3181.17	86	1154.43	47	1438.78	128	4302.7	83	11223.67	156	7229.04	52	8384	88	6528.5	82	4166.7	97
K00262	14334.6	124	6759.16	237	4148.87	132	6614.92	97	16578.5	251	25821.46	82	8197.96	209	21078.28	138	2952.74	53	3682.04	268	5940.72	49	21679.47	259	10866.42	97	15080.68	148	12845.22	105	10563.11	160
K00263	2581.48	29	2268.32	65	1583.36	43	3892.02	33	4810.52	125	7506.46	26	5571.53	85	3098.2	64	2005.16	43	2102.87	45	3062.52	41	9224.7	33	3412.88	36	3066.67	59	4050	42	4024.6	53
K00264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00265	17183.1	143	12564.08	218	7050.07	89	8449.72	101	13748.98	254	20789.84	85	15515.74	211	12232.7	140	12664.35	118	4008.44	174	8009.47	158	24816.3	198	9311.42	90	9618.51	158	8673.55	105	9163.37	111
K00266	23458.82	186	19718.74	280	7916.25	111	14272.67	149	21143.69	263	27337.92	118	16931.8	227	13556.15	189	12038.68	140	5780.42	277	12668.32	200	38110.48	285	13407.17	126	12271.35	208	12349.01	153	12619.79	156
K00270	0	0	0	0	110.67	0	0	0	0	0	0	0	13.33	0	0	0	18.33	1	29	0	0	1	0	0	0	0	0	0	0	0	0	0
K00271	0	0	0	0	62.5	0	0	0	0	0	0	0	126	0	360	0	537	4	333	0	0	3	0	0	0	0	0	0	0	0	0	1
K00273	0	0	0.75	1	102.75	0	2	0	0	1	2	0	22.5	1	67.5	0	221.25	4	311	1	0	4	0	1	0	1	0	1	5	0	0	1
K00274	4134.15	36	7152.65	72	2104.21	16	5046.02	33	2461.52	29	7472.08	13	3964.91	32	2998.53	75	1562.48	46	2455.87	48	3950.35	49	24015.37	22	2891.05	45	3267.67	32	4098	21	2300.93	57
K00275	20994.3	180	15533.73	301	7937.7	163	15093.12	136	16937.19	307	27701.84	118	17148.75	249	25380.35	166	13041.13	120	5733.82	342	12585.42	161	28544.7	352	15894.92	117	17914.51	199	14522.26	175	14246.24	184
K00276	2	0	8	11	1499.88	1	21	1	21	1	609.21	0	4584.49	2	3651	1	12872.51	42	905.59	0	8	7	4	1	10	1	1743.17	1	1539	0	0	7
K00278	17810.6	143	12781.08	238	6712.42	134	8294.05	101	15421.99	258	26227.84	93	14369.42	213	24741.03	148	13114.01	133	5256.4	278	7924.72	170	25129.8	283	10678.92	100	14735.84	160	12639.59	125	11395.37	168
K00281	16144.87	125	13126.15	172	5600.46	138	11593.47	114	15342.94	213	29234.92	103	14299.83	181	26049.4	149	17769.73	118	4541.38	289	9902.03	119	29091.05	282	13113.3	108	12801.51	151	12339.09	134	11885.02	179
K00282	1627	4	1120.5	1	1022.11	1	423.4	5	276.7	1	50	6	1272.16	1	307.33	1	1276.77	14	1041.35	6	652.42	61	1514	8	204	5	3.5	13	7	11	825.83	2
K00283	1627	4	1120.5	1	981.11	1	423.4	5	276.7	1	50	6	1269.66	1	307.33	1	1268.27	14	1039.35	6	600.42	62	1514	8	204	5	3.5	13	7	11	825.83	2
K00284	3231.5	11	1534.67	8	336.66	18	868	20	3963.5	5	3656	21	588.92	9	202.67	15	673.17	7	1036.75	72	1176.5	45	3892.5	69	1578.5	17	500	26	411	30	1067.5	25
K00285	26584.69	220	24860.67	575	9425.23	172	18077.33	197	25126.78	388	53548.25	122	24484.57	332	29390.72	302	7396.13	143	5943.2	430	16435.76	221	62469.57	388	15747.75	173	23891.02	275	22628.93	193	18558.04	271
K00286	19641.87	165	14700.44	248	7180.56	154	12070.72	122	17425.2	259	26824.84	112	16467.08	216	29489.98	154	18905.91	154	6747.8	316	10651.57	196	26484.34	346	13994.59	110	15535.18	183	13069.22	160	13139.37	172
K00287	20837.1	174	16340.82	245	6722.83	180	10015.82	141	20190.64	379	28429.34	115	15261.82	294	42936.2	177	18582.08	155	5870.05	311	9763.47	143	27855.81	326	18353.42	128	15164.52	204	13068.56	148	14731.94	180
K00288	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00289	0	0	0	0	0	0	0	0	0	0	0	0	30	0	985	0	222	13	47	0	0	1	0	0	0	0	0	0	0	0	0	0
K00290	868	4	1418.17	1	247.17	5	769	12	2764.4	0	3	10	135.43	1	59.17	0	501.33	4	564.5	8	881.17	29	722	69	3015.5	5	1.5	4	0	17	293.5	2
K00293	0	1	6	0	5	0	0	0	295	0	0	0	8	0	0	0	0	1	19	0	8	7	0	0	0	1	0	1	0	0	0	1
K00294	6884	50	2705	34	972.24	92	1639.4	39	7266.1	163	7375	57	1800.33	124	17388.34	45	1750.27	34	1920.6	133	2479.75	46	5298.6	167	5732.5	42	5639	67	4564	56	5994.73	70
K00297	21911.01	170	19262.68	323	7792.79	172	10822.68	121	19172.43	312	28966.84	122	19952.47	263	31558.44	171	25138.24	176	6772.53	322	10214.63	202	37343.09	455	12607.2	120	20192.51	178	15607.72	180	13415.93	187
K00298	0	0	0	1	19	1	7	1	2	0	0	0	0.33	0	5	1	28.5	1	91.33	0	3	1	0	0	7	1	0	1	2	0	2	1
K00299	14507.44	161	15231.12	248	4799.71	54	12271.31	128	11751.79	78	10666.04	55	12021.46	88	9690.4	112	10236.48	112	3997.85	229	9178.15	50	23586.78	135	9009.29	105	10645.01	147	10180.84	76	7260.65	82
K00301	3110	33	9738	7	1284.06	8	2257	17	1170	8	670.5	9	2514.33	6	5679.33	16	7284.51	51	837.14	13	1990	12	3434	21	382	15	3	12	24	9	916	8
K00302	5352.6	54	11594.2	99	2698.85	22	5761.07	27	3269.4	17	4294.08	37	9664.58	16	3318.03	94	7864.83	60	2676.42	65	4436.1	46	12154.8	137	2943	30	2904.34	34	4990.67	53	2130.67	48
K00303	12508.2	92	18016.9	243	4150.95	33	10018.47	73	9184.3	41	9337.91	67	15515.74	44	5097.65	234	8314.9	97	3758.22	243	7905.7	70	20311.4	185	6131.5	55	6643.51	80	11943.67	77	4432.37	118
K00304	5320.6	54	11535.2	98	1766.85	21	5609.07	24	3140.4	17	4283.08	37	5434.08	16	2994.03	94	1267.49	48	2354.42	65	4271.1	34	12109.8	137	2796	28	2902.34	31	4988.67	53	1983.67	47
K00305	5320.6	54	11535.2	98	2192.85	21	5609.07	24	3140.4	17	4283.08	37	7212.58	16	3235.7	94	7396.99	54	2480.42	65	4271.1	31	12109.8	137	2799	28	2902.34	31	4988.67	53	1983.67	47
K00306	2	0	0	0	3.5	0	0	0	4	0	0	0	27	0	493	0	5	1	5	0	0	1	0	0	0	1	0	0	0	0	0	0
K00311	9142.1	79	8841.41	243	5015.09	51	6018.82	52	7002.89	95	19339.96	41	12115	88	4300.2	133	2982.07	48	2466.24	143	5269.22	106	17710.5	159	4303.42	46	9338.01	90	9952.59	73	5494.34	108
K00313	4678	49	8486	1	103.83	11	1514	8	2151	4	957	33	510.04	6	380	11	88.5	4	45	42	988	4	5911	83	3072	14	0	9	0	51	359	14
K00314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00315	2947	25	5976	46	369	13	1923	4	2089	2	646	34	2270	4	582.32	31	458.5	8	390	24	1795	21	3871	168	754	9	759	10	1826	49	323	17
K00316	2104	21	1729.5	46	1526.75	5	483.5	4	737	3	1455.83	12	4184.79	5	61	36	164.67	2	6.75	22	274.5	4	2606	13	1433.5	6	785.17	3	1920.25	16	156.5	26
K00317	0	1	2	0	12.2	1	0	0	3	0	0	0	387	0	43	0	31	2	11.5	1	5.5	1	0.6	1	0	0	0	1	0	0	2.4	0
K00318	9284	58	3262	39	1279.46	126	2038.4	66	12124.45	281	9344	73	1956.24	205	20577.17	64	2318.76	55	2137.35	196	3115.42	47	9124	192	6708.5	66	5758	115	4972	63	8602.33	82
K00319	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
K00320	0	0	0	0	11	0	0	0	7	0	0	0	1	0	0	0	29	0	45	0	2	1	0	0	0	0	0	0	0	0	0	0
K00322	6935.81	89	8382.2	140	2279.69	31	4446.77	23	3472.27	61	6542.96	26	7741.87	52	2332.53	70	3559.5	34	1216.62	79	3094.47	22	14355.65	94	4060	29	7369.34	45	5795.84	51	2029.89	48
K00324	17965.27	173	18373	392	11000.14	94	13494.9	107	12766.54	180	27549.92	71	26161.25	159	12823.9	188	27838.9	169	7977.16	232	11706.44	230	33704.93	254	9137.41	105	17533.02	172	15964.6	143	10703.25	147
K00325	11349.72	100	10592.04	208	7188.82	57	7594.7	71	8485.77	96	19492.84	49	15978.04	92	6912.78	109	18649.24	96	4822.12	157	6611.97	136	20332.8	169	5910.04	69	9516.51	105	8367.26	89	5947.04	102
K00326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00329	93	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	10	1	0	1	223	1	0	1	0	1	0	1	0	0
K00330	18926.84	155	14310.84	246	6219.94	182	10237.58	137	19459.54	379	28483.46	114	14089.05	295	23876.45	174	6870.83	108	4968.91	299	9833.22	203	26762.68	357	14898.79	124	14912.01	204	13175.76	151	15123.79	180
K00331	18922.72	155	14301.96	245	6179.44	181	9535.7	131	18950.92	376	28162.46	114	14100.55	291	23887.45	171	6795.83	108	4852.54	299	9387.47	199	26758.8	357	14830.04	123	15243.51	202	13227.26	151	14407.04	178
K00332	13541.29	83	10747.38	105	2952.16	153	5910.55	110	14412.62	316	21617	93	5699.22	240	23396	102	3781.59	91	3891.04	221	7033.25	181	14038.65	280	10837.42	95	7872.67	159	7337.17	104	12692.15	130
K00333	13541.29	83	10747.38	106	2926.49	154	5910.55	110	14412.62	316	21679	93	5343.55	240	23401	102	3830.09	91	3915.04	221	7033.25	180	14038.65	280	10837.42	95	7908.67	159	7396.17	104	12692.15	131
K00334	19763.72	165	18080.96	242	6147.45	152	9907.7	111	16175.17	258	26823.46	110	13605.72	216	23385.95	154	6437.33	106	4557.12	293	9470.47	183	27367.3	339	11807.04	107	15155.51	171	12933.26	149	12288.04	169
K00335	18215.72	149	13396.96	241	6120.78	148	8956.7	108	15789.92	258	26817.46	105	13586.05	215	22613.95	154	6342.33	98	4621.62	292	8640.47	191	25681.8	330	11717.04	106	15155.51	168	12928.26	145	11936.04	169
K00336	18209.72	149	13396.96	241	6065.28	148	8956.7	108	15510.42	258	26817.46	105	13601.05	215	23565.95	154	6473.33	110	4502.87	292	8694.47	181	25676.8	330	11717.04	106	15155.51	168	12928.26	145	11936.04	169
K00337	18922.72	155	14305.96	245	6207.94	181	9544.7	131	18993.92	376	28162.46	114	14107.72	291	23887.45	171	6817.17	108	4908.79	299	9389.47	200	26758.8	357	14830.04	123	15243.51	202	13230.26	151	14411.04	179
K00338	18479.72	154	13522.96	245	6183.94	179	9192.7	120	18510.42	376	28162.46	113	14101.72	291	23887.45	171	6791.5	107	4783.12	297	8943.47	199	26689.8	341	12151.04	121	15243.51	202	13227.26	150	14122.04	178
K00339	18922.72	155	14301.96	245	6188.28	181	9535.7	131	18948.92	376	28162.46	114	14097.05	291	23887.45	171	6793.16	108	4856.79	299	9387.47	199	26758.8	357	14830.04	123	15243.51	202	13227.26	151	14407.04	178
K00340	18922.72	155	14301.96	245	6171.94	181	9535.7	131	18948.92	376	28162.46	114	14061.72	291	23868.45	171	6763.83	108	4804.79	299	9387.47	198	26758.8	357	14830.04	123	15243.51	202	13227.26	151	14407.37	178
K00341	18916.72	155	14301.96	245	6176.94	181	9516.7	131	18950.92	376	28162.46	114	14087.05	291	23887.45	171	6797.5	108	4873.79	298	9379.47	202	26753.8	357	14830.04	123	15243.51	202	13227.26	151	14405.04	178
K00342	18922.72	155	14305.96	245	6290.1	181	9544.7	131	18950.92	376	28162.46	114	14166.72	291	23885.95	171	6821.51	108	4896.79	299	9389.47	211	26758.8	357	14830.04	123	15243.51	202	13230.26	151	14411.04	178
K00343	18882.72	155	14230.96	245	6174.94	181	9431.7	131	18931.92	376	28162.46	114	14075.72	291	23876.45	171	6776.83	108	4851.79	298	9268.47	198	26753.8	357	14830.04	123	15243.51	202	13230.26	150	14411.04	178
K00344	23973.27	171	12642.34	594	14371.04	152	17864.67	179	19954.81	371	47394.37	98	36032.09	328	21899.92	275	35557.39	280	8518.09	373	15047.5	286	54254.53	332	17179.52	155	28285.02	217	23477.43	192	14641.71	263
K00346	2.38	1	39.62	8	1608.37	1	24.62	1	1954.52	1	342.64	1	2415.37	3	125.91	2	442.25	5	228.45	1	31.25	12	8	7	7.38	1	936	3	316.92	1	0	7
K00347	4.38	1	45.62	8	1734.37	1	34.62	1	1956.52	1	342.64	1	2419.37	4	183.91	2	533.25	5	354.45	1	31.25	12	8	7	7.38	1	936	3	316.92	1	2	7
K00348	4.38	1	45.62	8	1734.37	1	34.62	1	1956.52	1	342.64	1	2419.37	4	181.91	2	533.25	5	354.45	1	31.25	12	8	7	7.38	1	936	3	316.92	1	2	7
K00349	4.38	1	45.62	8	1734.37	1	34.62	1	1956.52	1	342.64	1	2419.37	4	183.91	2	533.25	5	354.45	1	31.25	12	8	7	7.38	1	936	3	316.92	1	2	7
K00350	4.38	1	45.62	15	2983.12	1	34.62	1	1957.52	2	345.14	1	3685.83	6	196.24	3	683.25	6	356.95	1	31.25	13	8	7	7.38	1	1829.5	5	541.84	1	2	7
K00351	4.38	1	45.62	8	1734.37	1	34.62	1	1956.52	1	342.64	1	2413.37	4	183.91	2	531.25	5	354.45	1	31.25	12	8	7	7.38	1	936	3	316.92	1	2	7
K00354	25.17	1	84.83	56	540.67	1	0	2	235	11	980	2	2965.66	17	316.33	33	238.66	4	143.5	4	75	4	863.67	2	254.67	2	1289	4	2184	1	293.33	19
K00355	4928.3	61	9043.1	129	2859.48	42	9788.8	53	3807.85	62	8579.71	36	9464.95	47	18805.6	80	3195.62	34	1896.75	125	6701.8	18	18662.6	76	8496.5	42	6839.17	54	6386	73	4844.2	78
K00356	3637	24	6432.5	50	2040.92	19	1675.67	11	1149.5	2	752	21	3810.88	5	1362.92	31	1263.25	26	1155.75	17	1796.17	81	3870.6	72	710.5	10	780.17	22	1839.67	30	1339.57	18
K00360	36	1	33	5	673	2	647	14	357	1	6	1	1992.33	1	2826	0	7157.67	47	745.17	1	497	4	12	1	257	14	3	9	23	1	290	1
K00362	15576.44	122	12791.5	298	7438.56	83	12286.96	145	13205.24	160	25899.96	57	18448.35	143	8218.56	154	14102.08	116	3673.35	263	9891.19	97	25605.9	212	12782.91	106	13888.84	138	11126.34	114	9162.94	145
K00363	12230.11	83	11614.74	141	4855.84	53	11570.46	130	10433.24	53	20134.46	50	10123.13	61	7446.39	110	10936.16	87	3034.6	215	9275.95	91	21440.33	110	12215.17	83	5396.17	107	6533.92	87	8186.53	111
K00364	9692.67	65	4045.66	87	1986.67	80	1380.9	35	6114.51	78	18519.38	61	3721.4	85	16808.66	70	2553.59	13	1196.26	207	2044.58	32	9910.84	165	4754.17	41	8060.67	59	6645.88	68	5277.66	111
K00365	0	0	0	4	903.25	1	14	1	9	1	2	0	2047.58	1	2624.17	0	6799.17	37	567.42	0	2	6	0	0	3	1	0	1	10	0	4	1
K00366	0	0	37	0	234.08	1	0	0	141	0	0	1	435.83	0	36	0	246	2	769.25	0	5.5	10	0	0	3	1	0	1	0	0	0	1
K00367	734	8	1513	6	111.5	5	643	13	795	5	3080	5	79.5	4	211.5	14	195.83	8	568.42	9	921	17	145	20	3373	4	323	2	322	13	634	23
K00368	1742.72	26	6621.08	14	235.39	14	4764.95	36	2052.02	8	3462.25	15	166.55	9	1099.87	16	706.9	15	316.75	34	3331.35	15	7958.68	22	3170.75	26	354.17	26	413.17	28	2652.42	25
K00370	7851.72	60	5080.08	60	817.6	27	6483.35	72	5706.22	29	13820.76	35	2653.42	30	3920.12	49	1454.5	43	1473.27	127	4826.43	27	8924.68	46	6147.25	56	1719.17	63	2265.17	59	4378.42	64
K00371	7851.72	60	5080.08	60	847.1	27	6485.35	72	5706.22	29	13820.76	35	2657.42	30	3925.12	49	1530.5	43	1609.27	127	4829.43	27	8924.68	46	6147.25	56	1719.17	63	2265.17	59	4378.42	64
K00372	7418.39	82	12440.79	147	3376.91	46	6205.53	59	7026.27	93	17359.96	32	8262.08	82	6034.28	76	8715.16	81	2512.96	131	5193.97	74	9439.37	103	4700.04	46	6197.17	81	4802.75	58	5173.3	72
K00373	7851.72	60	5080.08	60	827.6	27	6485.35	72	5706.22	29	13820.76	35	2652.42	30	3925.12	49	1530.5	44	1605.27	127	4829.43	24	8924.68	46	6147.25	56	1719.17	63	2265.17	59	4378.42	64
